dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label,throughput_mbps,pps,pred_label,pred_proba_attack,pred_attack_cat,pred_attack_cat_proba
0.0,arp,-,INT,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.688,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,Normal,0,368.0,1000000.0,0,0.0009685871,normal,
0.0,arp,-,INT,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.712,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,Normal,0,368.0,1000000.0,0,0.0009685871,normal,
4e-06,udp,-,INT,2,0,1454,0,250000.0006,254,0,1454000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,727,0,0,0,3,2,1,1,1,3,0,0,0,1,3,0,Normal,0,2908.0,500000.0,1,0.79721797,2,0.9526643753051758
7e-06,udp,-,INT,2,0,2062,0,142857.1409,254,0,1178285696.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1031,0,0,0,3,2,1,1,1,3,0,0,0,1,3,0,Normal,0,2356.571428571429,285714.28571428574,1,0.70917386,2,0.9870381355285645
1.1e-05,udp,-,INT,2,0,2040,0,90909.0902,254,0,741818176.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1020,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Normal,0,1483.6363636363637,181818.18181818182,1,0.9166352,2,0.3772010803222656
4e-06,udp,-,INT,2,0,1052,0,250000.0006,254,0,1052000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,526,0,0,0,3,2,1,1,1,3,0,0,0,2,3,0,Normal,0,2104.0,500000.0,1,0.7569349,2,0.9890377521514893
3e-06,udp,-,INT,2,0,314,0,333333.3215,254,0,418666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,157,0,0,0,2,2,1,1,1,2,0,0,0,1,2,0,Normal,0,837.3333333333333,666666.6666666666,1,0.9156959,5,0.6021592020988464
1e-05,udp,-,INT,2,0,1774,0,100000.0025,254,0,709600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,887,0,0,0,2,2,1,1,1,2,0,0,0,1,2,0,Normal,0,1419.2,199999.99999999997,1,0.75596666,2,0.9282069206237793
2e-06,udp,-,INT,2,0,1568,0,500000.0013,254,0,3136000000.0,0.0,0,0,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,784,0,0,0,3,2,1,1,1,2,0,0,0,1,2,0,Normal,0,6272.0,1000000.0,1,0.83909357,2,0.8868408203125
4e-06,udp,-,INT,2,0,2054,0,250000.0006,254,0,2054000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1027,0,0,0,3,2,1,1,1,2,0,0,0,2,2,0,Normal,0,4108.0,500000.0,1,0.8310778,2,0.9570969343185425
1e-05,udp,-,INT,2,0,2170,0,100000.0025,254,0,868000000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1085,0,0,0,2,2,1,1,1,2,0,0,0,1,2,0,Normal,0,1735.9999999999998,199999.99999999997,1,0.7727792,2,0.849226713180542
9e-06,udp,-,INT,2,0,202,0,111111.1072,254,0,89777776.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,101,0,0,0,2,2,1,1,1,2,0,0,0,1,2,0,Normal,0,179.55555555555554,222222.22222222222,1,0.9259352,5,0.5993722677230835
1e-05,udp,-,INT,2,0,1334,0,100000.0025,254,0,533600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,667,0,0,0,3,2,1,1,1,3,0,0,0,1,3,0,Normal,0,1067.1999999999998,199999.99999999997,1,0.6857228,2,0.9292258620262146
5e-06,udp,-,INT,2,0,2058,0,200000.0051,254,0,1646400000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1029,0,0,0,3,2,2,2,1,3,0,0,0,2,3,0,Normal,0,3292.7999999999997,399999.99999999994,1,0.7102727,2,0.9969853758811951
3e-06,udp,-,INT,2,0,286,0,333333.3215,254,0,381333312.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,143,0,0,0,3,2,2,2,1,3,0,0,0,2,3,0,Normal,0,762.6666666666666,666666.6666666666,1,0.7429323,2,0.9474738240242004
7e-06,udp,-,INT,2,0,1500,0,142857.1409,254,0,857142848.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,750,0,0,0,2,2,2,2,1,2,0,0,0,2,2,0,Normal,0,1714.2857142857144,285714.28571428574,1,0.8106252,2,0.9482085704803467
6e-06,udp,-,INT,2,0,902,0,166666.6608,254,0,601333312.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,451,0,0,0,2,2,2,2,1,2,0,0,0,2,2,0,Normal,0,1202.6666666666667,333333.3333333333,1,0.74193406,2,0.9147682785987854
2e-06,udp,-,INT,2,0,1626,0,500000.0013,254,0,3252000000.0,0.0,0,0,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,813,0,0,0,2,2,1,1,1,1,0,0,0,2,1,0,Normal,0,6504.0,1000000.0,1,0.9547404,0,0.37427446246147156
7e-06,udp,-,INT,2,0,364,0,142857.1409,254,0,208000000.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,182,0,0,0,3,2,1,1,1,1,0,0,0,2,2,0,Normal,0,416.0,285714.28571428574,1,0.96042275,5,0.9235529899597168
1.434166,tcp,-,FIN,10,6,530,268,10.459041,254,252,2660.780029,1249.506714,2,1,151.243111,270.886813,10042.8699,468.508156,255,1640845588,177111456,255,0.148966,0.079731,0.069235,53,45,0,0,2,1,1,1,1,1,0,0,0,1,1,0,Normal,0,0.004451367554383524,11.15630966010908,1,0.80171716,5,0.6176032423973083
7e-06,udp,-,INT,2,0,730,0,142857.1409,254,0,417142848.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,365,0,0,0,2,2,1,1,1,2,0,0,0,2,2,0,Normal,0,834.2857142857142,285714.28571428574,1,0.85903275,5,0.4418811500072479
1.924287,tcp,-,FIN,10,8,530,354,8.834441,254,252,1983.072266,1288.789062,2,1,213.738778,261.252,13125.11139,399.405156,255,2214319888,3374287000,255,0.185096,0.095516,0.08958,53,44,0,0,2,1,1,1,1,1,0,0,0,1,1,0,Normal,0,0.0036751274627953106,9.354114017295757,1,0.7806386,5,0.7240389585494995
2.773779,tcp,-,FIN,14,8,7954,354,7.570899,254,252,21302.3457,894.087097,4,1,213.367611,381.293437,18158.22943,788.701375,255,3374744735,1063429159,255,0.144772,0.077744,0.067028,568,44,0,0,1,1,1,1,1,1,0,0,0,2,1,0,Normal,0,0.02396153406598002,7.931417751738692,1,0.8866586,2,0.5276812314987183
1e-05,udp,-,INT,2,0,794,0,100000.0025,254,0,317600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,397,0,0,0,2,2,1,1,1,2,0,0,0,1,2,0,Normal,0,635.2,199999.99999999997,1,0.8262409,2,0.6882307529449463
1.465041,tcp,-,FIN,10,8,2516,354,11.60377,254,252,12368.25391,1692.7854,2,1,157.703444,195.494719,8764.724091,346.639313,255,783227300,772078300,255,0.221146,0.09657,0.124576,252,44,0,0,4,1,2,1,1,3,0,0,0,2,2,0,Normal,0,0.01567191634909876,12.286345569850946,0,0.32964373,normal,
0.983874,tcp,http,FIN,10,8,816,1172,17.278635,62,252,5976.375,8342.53125,2,2,109.319333,124.932859,5929.211713,192.590406,255,794167371,1624757001,255,0.206572,0.108393,0.098179,82,147,1,184,2,1,1,1,1,2,0,0,1,1,3,0,Normal,0,0.016164671492487858,18.295025582544106,0,0.31079295,normal,
0.714182,tcp,-,FIN,10,6,534,268,21.003049,254,252,5387.982422,2509.164307,2,1,79.353556,120.191398,4013.392196,218.658469,255,3802396535,2514907206,255,0.162097,0.079909,0.082188,53,45,0,0,3,1,1,1,1,2,0,0,0,2,2,0,Normal,0,0.0089837044338838,22.40325295232868,0,0.38723463,normal,
59.995674,arp,-,INT,2,0,92,0,0.016668,0,0,6.133776,0.0,0,0,59998.196,0.0,13.651471,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,Normal,0,1.2267551157105095e-05,0.033335736839959496,0,0.0010212332,normal,
59.995678,arp,-,INT,2,0,92,0,0.016668,0,0,6.133775,0.0,0,0,59998.2,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,Normal,0,1.2267550339209435e-05,0.03333573461741694,0,0.0012130997,normal,
59.995674,arp,-,INT,2,0,92,0,0.016668,0,0,6.133776,0.0,0,0,59998.196,0.0,13.651471,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,Normal,0,1.2267551157105095e-05,0.033335736839959496,0,0.0010212332,normal,
1.535254,tcp,http,FIN,10,10,826,1266,12.375802,62,252,3876.882812,5940.385254,2,2,170.481889,159.070562,11933.0656,244.118016,255,708428911,3141441573,255,0.180318,0.103612,0.076706,83,127,1,187,2,1,1,1,1,2,0,0,1,1,3,0,Normal,0,0.010901127761269473,13.027160326564855,0,0.4483363,normal,
59.995678,arp,-,INT,2,0,92,0,0.016668,0,0,6.133775,0.0,0,0,59998.2,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,Normal,0,1.2267550339209435e-05,0.03333573461741694,0,0.0012130997,normal,
0.757295,tcp,-,FIN,10,6,534,268,19.80734,254,252,5081.243164,2366.316895,2,1,84.023333,123.799203,4064.836863,186.487812,255,1416292821,1856664256,255,0.226895,0.138291,0.088604,53,45,0,0,3,1,1,1,1,2,0,0,0,1,2,0,Normal,0,0.008472259819489101,21.127829973788284,0,0.46501538,normal,
0.759306,tcp,-,FIN,10,8,534,354,22.388865,254,252,5067.785645,3266.140381,2,1,84.242667,98.501711,4716.886723,140.050609,255,2545019062,3292860217,255,0.172317,0.069791,0.102526,53,44,0,0,5,1,1,1,1,3,0,0,0,1,3,0,Normal,0,0.009355911845817102,23.70585771744198,0,0.22861344,normal,
1.294036,tcp,-,FIN,10,8,2516,354,13.137192,254,252,14002.70117,1916.484497,2,1,143.781778,173.331141,9390.189727,257.271375,255,1381018516,1985881197,255,0.135361,0.079802,0.055559,252,44,0,0,2,1,1,1,1,2,0,0,0,1,3,0,Normal,0,0.0177429375998813,13.909968501649104,0,0.26764026,normal,
1.059359,tcp,http,FIN,10,8,830,1134,16.047441,62,252,5641.147461,7498.874512,2,2,117.706556,132.899281,6102.668305,255.756219,255,1853677305,1202418679,255,0.274887,0.128459,0.146428,83,142,1,165,1,1,1,1,1,1,0,0,1,3,1,0,Normal,0,0.014831610436122222,16.99140706785896,1,0.9137316,4,0.47432583570480347
0.624048,tcp,-,FIN,10,6,534,268,24.036613,254,252,6166.192383,2871.573975,2,1,69.229667,106.834797,3412.856309,145.655875,255,2425182602,2706975732,255,0.221323,0.089865,0.131458,53,45,0,0,5,1,1,1,1,3,0,0,0,1,3,0,Normal,0,0.010281260415865445,25.639053406148243,0,0.2897202,normal,
1.190292,tcp,-,FIN,10,8,2516,354,14.28221,254,252,15223.15527,2083.522461,2,1,132.107111,154.911719,8972.551926,220.423188,255,3033763933,3509078729,255,0.195284,0.105903,0.089381,252,44,0,0,2,1,1,1,1,2,0,0,0,1,3,0,Normal,0,0.019289384453562656,15.12233972840278,0,0.3832478,normal,
0.999472,tcp,-,FIN,10,6,534,268,15.007924,254,252,3850.032715,1792.946655,2,1,110.960333,178.405406,6141.458662,306.944813,255,2868770840,4280658180,255,0.266426,0.107439,0.158987,53,45,0,0,5,1,1,1,1,3,0,0,0,2,3,0,Normal,0,0.006419389437623065,16.00845246290041,0,0.27414805,normal,
0.990548,tcp,http,FIN,10,10,804,1414,19.181301,62,252,5847.268066,10281.17773,2,2,110.060889,100.616555,7172.956819,143.497953,255,1528762476,1066585482,255,0.181441,0.084249,0.097192,80,141,1,261,2,1,18,1,1,2,0,0,1,1,2,0,Normal,0,0.01791331666915687,20.190843856128122,1,0.95810807,4,0.5721884369850159
0.655618,tcp,-,FIN,10,6,534,268,22.879176,254,252,5869.271484,2733.298828,2,1,69.326,107.047,3518.358106,160.930422,255,740536776,1008520884,255,0.199328,0.120374,0.078954,53,45,0,0,2,1,1,1,1,2,0,0,0,1,2,0,Normal,0,0.009786186468339795,24.40445503326632,0,0.32377774,normal,
0.810167,tcp,-,FIN,10,8,2516,354,20.983328,254,252,22365.75781,3061.097168,2,1,83.946222,98.96643,5467.042547,158.574391,255,811780886,2226389848,255,0.21379,0.117396,0.096394,252,44,0,0,17,1,1,1,1,3,0,0,0,1,3,0,Normal,0,0.028339836107864183,22.217641547977145,1,0.7507876,2,0.98356032371521
14.846565,tcp,-,REQ,22,0,990,0,1.414469,254,0,509.208679,0.0,21,0,706.979312,0.0,965.398187,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,17,6,4,3,3,14,0,0,0,3,15,0,Normal,0,0.0005334567288797106,1.481824246888085,0,0.1603878,normal,
14.846565,tcp,-,REQ,22,0,990,0,1.414469,254,0,509.208679,0.0,21,0,706.979312,0.0,965.398187,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,17,6,4,3,3,14,0,0,0,3,15,0,Normal,0,0.0005334567288797106,1.481824246888085,0,0.1603878,normal,
14.846565,tcp,-,REQ,22,0,990,0,1.414469,254,0,509.208679,0.0,21,0,706.979312,0.0,965.398187,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,17,6,4,3,3,14,0,0,0,3,15,0,Normal,0,0.0005334567288797106,1.481824246888085,0,0.1603878,normal,
1.588788,tcp,-,FIN,10,6,534,268,9.441159,254,252,2421.971924,1127.903809,2,1,173.193,301.393594,11388.44841,541.030062,255,3086844008,3257523641,255,0.153274,0.081819,0.071455,53,45,0,0,2,1,1,1,1,2,0,0,0,2,2,0,Normal,0,0.004038298375868901,10.070569515882546,1,0.624494,2,0.9928907155990601
1.151373,tcp,-,FIN,10,8,2516,354,14.76498,254,252,15737.73145,2153.949951,2,1,123.646778,144.751719,8172.13149,198.059172,255,531787453,1249086836,255,0.24447,0.13811,0.10636,252,44,0,0,17,1,1,1,1,3,0,0,0,10,3,0,Normal,0,0.019941409082894945,15.633508862896733,1,0.7152356,2,0.9860244393348694
14.355273,tcp,-,REQ,20,0,900,0,1.323555,254,0,476.47995,0.0,19,0,755.540687,0.0,1095.4585,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,17,6,9,3,3,14,0,0,0,10,15,0,Normal,0,0.0005015578596101934,1.3932162766949816,0,0.14941542,normal,
14.355273,tcp,-,REQ,20,0,900,0,1.323555,254,0,476.47995,0.0,19,0,755.540687,0.0,1095.4585,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,17,6,9,3,3,14,0,0,0,10,15,0,Normal,0,0.0005015578596101934,1.3932162766949816,0,0.14941542,normal,
14.355273,tcp,-,REQ,20,0,900,0,1.323555,254,0,476.47995,0.0,19,0,755.540687,0.0,1095.4585,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,17,6,9,3,3,14,0,0,0,10,15,0,Normal,0,0.0005015578596101934,1.3932162766949816,0,0.14941542,normal,
15.53235,tcp,-,REQ,20,0,900,0,1.223253,254,0,440.371246,0.0,19,0,817.492125,0.0,1294.16175,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,17,6,9,3,3,14,0,0,0,10,15,0,Normal,0,0.0004635486581232074,1.2876351614533539,0,0.15250576,normal,
15.590977,tcp,-,REQ,20,0,900,0,1.218654,254,0,438.715302,0.0,19,0,820.57775,0.0,1301.85075,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,17,6,9,3,3,14,0,0,0,10,15,0,Normal,0,0.00046180556869527807,1.2827932463757723,0,0.15250576,normal,
15.53235,tcp,-,REQ,20,0,900,0,1.223253,254,0,440.371246,0.0,19,0,817.492125,0.0,1294.16175,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,17,6,9,3,3,14,0,0,0,10,15,0,Normal,0,0.0004635486581232074,1.2876351614533539,0,0.15250576,normal,
15.53235,tcp,-,REQ,20,0,900,0,1.223253,254,0,440.371246,0.0,19,0,817.492125,0.0,1294.16175,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,17,6,9,3,3,14,0,0,0,10,15,0,Normal,0,0.0004635486581232074,1.2876351614533539,0,0.15250576,normal,
15.590977,tcp,-,REQ,20,0,900,0,1.218654,254,0,438.715302,0.0,19,0,820.57775,0.0,1301.85075,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,17,6,9,3,3,14,0,0,0,10,15,0,Normal,0,0.00046180556869527807,1.2827932463757723,0,0.15250576,normal,
15.590977,tcp,-,REQ,20,0,900,0,1.218654,254,0,438.715302,0.0,19,0,820.57775,0.0,1301.85075,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,17,6,9,3,3,14,0,0,0,10,15,0,Normal,0,0.00046180556869527807,1.2827932463757723,0,0.15250576,normal,
1.074494,tcp,-,FIN,10,8,2516,354,15.821401,254,252,16863.75195,2308.063232,2,1,119.388222,135.148,7733.705204,189.958375,255,2795605829,1134397635,255,0.22157,0.127886,0.093684,252,44,0,0,17,1,1,1,1,3,0,0,0,3,3,0,Normal,0,0.021368197495751487,16.752071207470678,1,0.6506344,2,0.9798950552940369
15.979696,tcp,-,REQ,18,0,810,0,1.06385,254,0,382.985992,0.0,17,0,939.982125,0.0,1630.5805,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,17,6,2,1,1,14,0,0,0,3,15,0,Normal,0,0.0004055145980248936,1.1264294389580378,0,0.07841638,normal,
15.226356,tcp,-,REQ,18,0,810,0,1.116485,254,0,401.934662,0.0,17,0,895.668,0.0,1477.873125,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,17,6,2,1,1,14,0,0,0,3,15,0,Normal,0,0.00042557785986351563,1.182160721843099,0,0.07841638,normal,
15.979696,tcp,-,REQ,18,0,810,0,1.06385,254,0,382.985992,0.0,17,0,939.982125,0.0,1630.5805,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,18,6,4,2,2,17,0,0,0,4,17,0,Normal,0,0.0004055145980248936,1.1264294389580378,0,0.052659094,normal,
15.226356,tcp,-,REQ,18,0,810,0,1.116485,254,0,401.934662,0.0,17,0,895.668,0.0,1477.873125,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,18,6,4,2,2,17,0,0,0,4,17,0,Normal,0,0.00042557785986351563,1.182160721843099,0,0.052659094,normal,
15.979696,tcp,-,REQ,18,0,810,0,1.06385,254,0,382.985992,0.0,17,0,939.982125,0.0,1630.5805,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,18,6,4,2,2,17,0,0,0,4,17,0,Normal,0,0.0004055145980248936,1.1264294389580378,0,0.052659094,normal,
1.303518,tcp,http,FIN,12,8,898,1120,14.575939,62,252,5057.083984,6014.492676,2,2,118.501635,175.467,6491.561713,252.408328,255,1182907296,802589817,255,0.140062,0.07451,0.065552,75,140,1,157,1,1,1,1,1,1,0,0,1,2,1,0,Normal,0,0.01238494596929233,15.343094610124295,1,0.86534995,4,0.4341750741004944
15.226356,tcp,-,REQ,18,0,810,0,1.116485,254,0,401.934662,0.0,17,0,895.668,0.0,1477.873125,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,18,6,4,2,2,17,0,0,0,4,17,0,Normal,0,0.00042557785986351563,1.182160721843099,0,0.052659094,normal,
15.374568,tcp,-,REQ,16,0,720,0,0.975637,254,0,351.22937,0.0,15,0,1024.971188,0.0,1831.659375,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,18,6,3,3,3,17,0,0,0,3,17,0,Normal,0,0.0003746446729430056,1.0406796470639046,0,0.12885144,normal,
15.374568,tcp,-,REQ,16,0,720,0,0.975637,254,0,351.22937,0.0,15,0,1024.971188,0.0,1831.659375,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,18,6,3,3,3,17,0,0,0,3,17,0,Normal,0,0.0003746446729430056,1.0406796470639046,0,0.12885144,normal,
15.374568,tcp,-,REQ,16,0,720,0,0.975637,254,0,351.22937,0.0,15,0,1024.971188,0.0,1831.659375,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,18,6,3,3,3,17,0,0,0,3,17,0,Normal,0,0.0003746446729430056,1.0406796470639046,0,0.12885144,normal,
0.582389,tcp,-,FIN,10,6,534,268,25.755981,254,252,6607.267578,3076.981201,2,1,64.699778,96.684398,3507.093149,155.981016,255,4226419251,1222508038,255,0.178731,0.098958,0.079773,53,45,0,0,3,1,1,1,1,2,0,0,0,1,2,0,Normal,0,0.011016691592732691,27.473046365916936,0,0.3936175,normal,
16.448053,tcp,-,REQ,14,0,630,0,0.790367,254,0,284.532166,0.0,13,0,1265.234875,0.0,2435.79,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,18,6,9,3,3,17,0,0,0,10,17,0,Normal,0,0.00030641924609557127,0.8511645724876981,0,0.069873355,normal,
16.76671,tcp,-,REQ,14,0,630,0,0.775346,254,0,279.124512,0.0,13,0,1289.747,0.0,2508.6645,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,18,6,9,3,3,17,0,0,0,10,17,0,Normal,0,0.0003005956445838212,0.8349879016217254,0,0.069873355,normal,
16.76671,tcp,-,REQ,14,0,630,0,0.775346,254,0,279.124512,0.0,13,0,1289.747,0.0,2508.6645,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,18,6,9,3,3,17,0,0,0,10,17,0,Normal,0,0.0003005956445838212,0.8349879016217254,0,0.069873355,normal,
15.40279,tcp,-,REQ,14,0,630,0,0.844003,254,0,303.841064,0.0,13,0,1184.83,0.0,2188.4775,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,18,6,9,3,3,17,0,0,0,10,17,0,Normal,0,0.00032721344639510114,0.9089262399863921,0,0.070438676,normal,
16.448053,tcp,-,REQ,14,0,630,0,0.790367,254,0,284.532166,0.0,13,0,1265.234875,0.0,2435.79,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,18,6,9,3,3,17,0,0,0,10,17,0,Normal,0,0.00030641924609557127,0.8511645724876981,0,0.069873355,normal,
2.462774,tcp,-,FIN,10,8,2516,354,6.902785,254,252,7357.556641,1006.994507,2,1,273.641556,328.576719,17425.54618,481.345844,255,3840327893,3548556327,255,0.2792,0.162075,0.117125,252,44,0,0,18,1,1,1,1,1,0,0,0,10,1,0,Normal,0,0.009322820526771844,7.308831423427403,1,0.84506124,2,0.8973467350006104
1.047169,tcp,-,FIN,10,8,534,354,16.234247,254,252,3674.669678,2368.290283,2,1,116.352111,132.691281,7064.833854,172.447047,255,3922662296,186468384,255,0.171522,0.11764,0.053882,53,44,0,0,3,1,1,1,1,2,0,0,0,2,2,0,Normal,0,0.006784005256076144,17.18920250694969,0,0.4157842,normal,
